,level_0,index,Health Facility Code Short_x,Facility Name,Old Health Facility Names,Old Health Facility Name 2,Health Facility Type,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Ownership Sub-Classification for private facilities,Street Name and #           ,Building name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Official Website,Hospital Licensing Status,Service Capability,Bed Capacity,target,lat,lon,Health Facility Code Short_y
1541,20269,2247,38207,HOLY MARY WOMEN AND CHILDREN'S HOSPITAL,,,Hospital,Private,,,FELIX GORRICETA AVENUE,,REGION VI (WESTERN VISAYAS),60000000,ILOILO,63000000,PAVIA,63036000,BALABAG,063036004,,,With License,Level 2,54.0,1,10.7623659,122.5278937,29
1542,20270,2248,38394,"SAINT GABRIEL MEDICAL CENTER, INC.",,,Hospital,Private,,,,,REGION VI (WESTERN VISAYAS),60000000,AKLAN,60400000,MALAY,60412000,MANOC-MANOC,060412010,5608.0,,With License,Level 1,,1,11.9514404,121.9333244,15
1543,20291,2269,38479,DR. RAMON B. GUSTILO HOSPITAL,,,Hospital,Private,,,,,REGION VI (WESTERN VISAYAS),60000000,NEGROS OCCIDENTAL,64500000,MANAPLA,64518000,,,,,With License,Level 1,,1,10.941571,123.1275558,32
1544,20292,0,2,CEBU CITY MEDICAL CENTER,,,Hospital,Government,Local Government Unit,,PANGANIBAN STREET NATALIO BACALSO AVE.,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,,,6000,WWW.CEBUCITY.GOV.PH,With License,Level 1,98.0,1,10.2979487,123.8921003,70
1554,20312,20,264,CONG. SIMEON G. TORIBIO MEMORIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,CARMEN,71212000,POBLACION SUR,071212024,6319,,With License,Level 1,40.0,1,9.8201766,124.1940474,30
1558,20316,24,300,DR. ILDEFONSO ALCANTARA MEMORIAL HOSPITAL,,,Hospital,Private,,,SARMIENTO STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,DALAGUETE,72222000,POBLACION,072222029,6022,,With License,Level 1,,1,9.7641227,123.533814,70
1559,20317,25,379,TAGBILARAN COMMUNITY HOSPITAL CORP.,,,Hospital,Private,,,0117 M. PARRAS STREET,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,TAGBILARAN CITY (Capital),71242000,POBLACION III,071242012,6300,,With License,Level 2,58.0,1,9.642674999999999,123.858262,30
1560,20318,26,391,CEBU METRO PSYCH FACILITY, , ,Hospital,Private, , ,UPPER MALIBU BEACH STREET, ,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,MANDAUE CITY,72230000,SUBANGDAKU,072230022,6014, ,Without License,0,,1,10.3234763,123.9270629,70
1561,20319,27,464,CEBU PROVINCIAL HOSPITAL (DANAO CITY),DANAO CITY DISTRICT HOSPITAL,,Hospital,Government,Local Government Unit,,NATIONAL ROAD,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,DANAO CITY,72223000,,,6004,,With License,Level 1,50.0,1,10.5221421,124.0290534,70
1563,20321,29,583,CEBU PROVINCIAL HOSPITAL (CARCAR CITY),JESUS M. PARAZ MEMORIAL HOSPITAL,,Hospital,Government,Local Government Unit,,BARACA STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CITY OF CARCAR,72214000,,,6019,,With License,Level 1,50.0,1,10.0992345,123.6437147,70
1564,20322,30,744,AMOSUP SEAMEN'S HOSPITAL - CEBU,,,Hospital,Private,,,CAMINO VICINAL STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,MANDAUE CITY,72230000,UMAPAD,072230027,6014,,With License,Level 2,,1,10.3345404,123.9514319,70
1565,20323,31,777,"SAINT VINCENT GENERAL HOSPITAL CEBU, INC.",,,Hospital,Private,,,210-D OSMEÑA BOULEVARD EXTENSION,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,SAMBAG I (POB.),072217064,6000,www.svgh.ph,With License,Level 2,140.0,1,10.3020109,123.8947906,70
1571,20356,64,1671,ISIDRO KINTANAR MEMORIAL HOSPITAL,ISIDRO C. KINTANAR MEMORIAL HOSPITAL,,Hospital,Government,Local Government Unit,,SAN MIGUEL STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,ARGAO,72205000,POBLACION,072205035,6021,,With License,Level 1,25.0,1,9.882099199999999,123.6087785,70
1572,20357,65,1685,CARMEN COPPER CORPORATION HOSPITAL,,,Hospital,Private,,,,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,TOLEDO CITY,72251000,DON ANDRES SORIANO (LUTOPAN),072251016,6038,,With License,Level 1,,1,10.313737,123.6979007,70
1573,20358,66,1687,BORJA FAMILY HOSPITAL CORPORATION,BORJA FAMILY CLINIC,,Hospital,Private,,,19 GALLARES STREET,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,TAGBILARAN CITY (Capital),71242000,POBLACION I,071242010,6300,WWW.BORJAHOSPITAL.COM,With License,Level 1,,1,9.641041,123.854569,30
1574,20359,67,1689,"ADVENTIST HOSPITAL - CEBU, INC.",H.W. MILLER MEMORIAL SANITARIUM AND HOSPITAL,,Hospital,Private,,,400 TRES DE ABRIL STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,SAN NICOLAS CENTRAL,072217068,6000,,With License,Level 2,100.0,1,10.2959051,123.8876657,70
1575,20360,68,1690,LEONA O. LIM MEMORIAL HOSPITAL,,,Hospital,Private,,,,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,VALENCIA,71247000,CANMANICO,071247011,6306,,With License,Level 1,,1,9.610185999999999,124.215932,30
1577,20362,70,23612,"MARIA JOSEFA RECIO THERAPEUTIC CENTER, INC", , ,Hospital,Private, ,Foundation,KAUSWAGAN ROAD, ,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,SAN JOSE,072217067,6000, ,Without License,0,,1,10.3768648,123.9140472,70
1579,20365,73,1891,BAYAWAN DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,ZAMORA STREET,,REGION VII (CENTRAL VISAYAS),180000000,NEGROS ORIENTAL,184600000,CITY OF BAYAWAN (TULONG),184606000,UBOS (POB.),184606026,6221,WWW.BAYAWANDISTRICTHOSPITAL.COM,With License,Level 1,50.0,1,9.368145499999999,122.8038762,18
1581,20372,80,2035,HOLY CHILD HOSPITAL,,,Hospital,Private,,,BISHOP E. TURBAN STREET,,REGION VII (CENTRAL VISAYAS),180000000,NEGROS ORIENTAL,184600000,DUMAGUETE CITY (Capital),184610000,POBLACION NO. 3 (BARANGAY 3),184610021,6200,,With License,Level 2,,1,9.306310999999999,123.3070592,18
1582,20373,81,2114,NEGROS ORIENTAL PROVINCIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,"NORTH ROAD, NATIONAL HIGHWAY",,REGION VII (CENTRAL VISAYAS),180000000,NEGROS ORIENTAL,184600000,DUMAGUETE CITY (Capital),184610000,PIAPI,184610018,6200,,With License,Level 2,250.0,1,9.3227119,123.3004557,18
1583,20374,82,2172,"PERPETUAL SUCCOUR HOSPITAL OF CEBU, INC.",,,Hospital,Private,,,GORORDO AVENUE,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,CAMPUTHAW (POB.),072217036,6000,WWW.PSHCEBU.PH,With License,Level 3,200.0,1,10.314595,123.9002923,70
1584,20377,85,2256,CEBU PUERICULTURE CENTER AND MATERNITY HOSPITAL,"CEBU PUERICULTURE CENTER AND MATERNITY HOUSE, INC.",,Hospital,Private,,,B. RODRIQUEZ STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,SAMBAG II (POB.),072217065,6000,,With License,0,,1,10.3088731,123.8921767,70
1585,20378,86,2257,CHONG HUA HOSPITAL,,,Hospital,Private,,,DON MARIANO CUI STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,,,6000,WWW.CHONGHUA.COM.PH,With License,Level 3,,1,10.3102389,123.8912615,70
1588,20383,91,2420,JULIO CARDINAL ROSALES MEMORIAL HOSPITAL,,,Hospital,Private,,,SAN GUILLERMO STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,DALAGUETE,72222000,POBLACION,072222029,6022,,With License,Level 1,,1,9.7634513,123.5349566,70
1591,20396,104,2778,"MACTAN DOCTORS HOSPITAL, INC.",,,Hospital,Private,,,MAXIMO V. PATALINGHUG AVENUE,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,LAPU-LAPU CITY (OPON),72226000,BASAK,072226005,6015,,With License,Level 2,160.0,1,10.2898386,123.9668083,70
1594,20403,111,2930,CEBU SOUTH GENERAL HOSPITAL,,,Hospital,Private,,,NATIONAL ROAD,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CITY OF NAGA,72234000,TUYAN,072234027,6037,,With License,Level 2,,1,10.2320746,123.7711518,70
1596,20407,115,2990,"CEBU DOCTORS' UNIVERSITY HOSPITAL, INC.","CEBU DOCTORS' HOSPITAL, INC.",,Hospital,Private,,,OSMEÑA BOULEVARD,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,CAPITOL SITE (POB.),072217020,6000,WWW.CDUH.COM.PH,With License,Level 3,300.0,1,10.3144559,123.8920288,70
1597,20410,118,3050,"VISAYAS COMMUNITY MEDICAL CENTER, INC.",METRO CEBU COMMUNITY HOSPITAL,CEBU COMMUNITY HOSPITAL,Hospital,Private,,,85 OSMEÑA BOULEVARD,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,SANTA CRUZ (POB.),072217070,6000,,With License,Level 3,200.0,1,10.3060799,123.8946762,70
1598,20411,119,3095,SIQUIJOR PROVINCIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,CASTIN STREET,,REGION VII (CENTRAL VISAYAS),70000000,SIQUIJOR,76100000,SIQUIJOR (Capital),76106000,PANGI,076106027,6225,,With License,Level 1,100.0,1,9.2197525,123.5173452,2
1601,20422,130,3407,CEBU PROVINCIAL HOSPITAL (BOGO CITY),SEVERO VERALLO MEMORIAL DISTRICT HOSPITAL,,Hospital,Government,Local Government Unit,,"NATIONAL HIGHWAY, TAYTAYAN HILLS",,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CITY OF BOGO,72211000,TAYTAYAN,072211028,6010,,With License,Level 1,50.0,1,11.0464598,123.994128,70
1602,20432,140,3876,SWU-ARGAO COMMUNITY HOSPITAL, , ,Hospital,Private, , , , ,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,ARGAO,72205000,LAMACAN,072205025,6021, ,Without License,0,,1,9.876696299999999,123.5975286,70
1603,20433,141,3886,TAGBILARAN MATERNITY AND CHILDREN'S HOSPITAL,TAGBILARAN PUERICULTURE CENTER, ,Hospital,Private, , ,J. A. CLARIN STREET, ,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,TAGBILARAN CITY (Capital),71242000,POBLACION III,071242012,6300, ,With License,0,,1,9.6413479,123.858928,30
1604,20438,146,3973,GOV. WILLIAM (BILLY) VILLEGAS MEMORIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,,,REGION VII (CENTRAL VISAYAS),180000000,NEGROS ORIENTAL,184600000,CITY OF GUIHULNGAN,184611000,POBLACION,184611028,6214,,With License,Level 1,50.0,1,10.117345,123.266747,18
1607,20441,149,3996,BOHOL ST. JUDE GENERAL HOSPITAL CORPORATION,,,Hospital,Private,,,CARLOS P. GARCIA AVENUE NORTH CORNER CALCETA STREET,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,TAGBILARAN CITY (Capital),71242000,COGON,071242004,6300,,With License,Level 1,,1,9.654368,123.855677,30
1608,20442,150,4009,CEBU PROVINCIAL HOSPITAL (BALAMBAN),BALAMBAN DISTRICT HOSPITAL,,Hospital,Government,Local Government Unit,,F. PILAPIL STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,BALAMBAN,72208000,BALIWAGAN (POB.),072208027,6041,,With License,Level 1,35.0,1,10.5107772,123.7166139,70
1609,20445,153,4072,LAPU-LAPU CITY HOSPITAL,,,Hospital,Government,Local Government Unit,,A. TUMULAK STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,LAPU-LAPU CITY (OPON),72226000,GUN-OB,072226012,6015,,With License,Level 1,75.0,1,10.303245,123.962362,70
1612,20450,158,4186,TEODORO B. GALAGAR DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,SEVERO SALAS STREET,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,JAGNA,71225000,POBLACION (PONDOL),071225030,6308,,With License,Level 1,50.0,1,9.651513800000002,124.3693592,30
1614,20452,160,4296,GARCIA MEMORIAL PROVINCIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,TALIBON,71243000,SAN JOSE,071243030,6325,,With License,Level 1,75.0,1,10.1307355,124.3185087,30
1615,20453,161,4358,"SUMC FOUNDATION, INC.",SILLIMAN UNIVERSITY MEDICAL CENTER,,Hospital,Private,,,V. ALDECOA SR. ROAD,,REGION VII (CENTRAL VISAYAS),70000000,NEGROS ORIENTAL,74600000,DUMAGUETE CITY (Capital),74610000,DARO,074610013,6200,,With License,Level 3,273.0,1,9.3163906,123.3038403,18
1616,20455,163,4414,ST. ANTHONY MOTHER AND CHILD HOSPITAL,,,Hospital,Government,Department Of Health,,TAGONOL STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,BASAK SAN NICOLAS,072217008,6000,,With License,0,25.0,1,10.2864752,123.8712676,70
1617,20459,167,4473,"CAMP LAPULAPU STATION HOSPITAL, CENTCOM, AFP",CAMP LAPULAPU ARMY STATION HOSPITAL,,Hospital,Government,Department of National Defense,,CAMP LAPULAPU ROAD,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,APAS,072217003,6000,,With License,Level 1,50.0,1,10.3375643,123.9035388,70
1620,20469,177,4667,DR. LIM'S CLINIC AND HOSPITAL,,,Hospital,Private,,,,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,VALENCIA,71247000,POBLACION OCCIDENTAL,071247028,6306,,With License,Level 1,,1,9.609223199999999,124.206225,30
1621,20470,178,4705,CEBU NORTH GENERAL HOSPITAL,,,Hospital,Private,,,KAUSWAGAN ROAD,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,SAN JOSE,072217067,6000,WWW.CEBUDOCGROUP.COM/NORTHGEN.HTML,With License,Level 2,,1,10.3731447,123.9143953,70
1622,20472,180,4743,"DR. IGNACIO M. CORTES GENERAL HOSPITAL, INC",,,Hospital,Private,,,,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,MANDAUE CITY,72230000,,,6014,,With License,Level 2,,1,10.329216,123.943373,70
1623,20483,191,5273,"CEBU (VELEZ) GENERAL HOSPITAL, INC.",,,Hospital,Private,,,47 F. RAMOS STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,,,6000,,With License,Level 3,,1,10.3074485,123.8963565,70
1624,20484,192,5280,TALISAY DISTRICT HOSPITAL,,,Hospital,Government,Department Of Health,,,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CITY OF TALISAY,72250000,SAN ISIDRO,072250014,6045,,With License,Level 1,25.0,1,10.253761,123.8384687,70
1626,20487,195,5328,"VICENTE GULLAS MEMORIAL HOSPITAL, INC.",,,Hospital,Private,,,,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,MANDAUE CITY,72230000,BANILAD,072230003,6014,,With License,Level 2,50.0,1,10.3471737,123.9150701,70
1627,20488,196,5353,DON EMILIO DEL VALLE MEMORIAL HOSPITAL,,,Hospital,Government,Department Of Health,,,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,UBAY,71246000,BOOD,071246008,6315,WWW.DEVMH.COM,With License,Level 1,100.0,1,10.0445691,124.4748995,30
1628,20489,197,5354,MEDICAL MISSION GROUP OF HOSP AND HEALTH SERVICE- BOHOL COOPERATIVE HOSPITAL,MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES,BOHOL COOPERATIVE HOSPITAL,Hospital,Private,,,BINAYRAN ROAD,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,TAGBILARAN CITY (Capital),71242000,DAMPAS,071242006,6300,,With License,Level 1,50.0,1,9.6523548,123.8765251,30
1629,20493,201,5389,GOV. CELESTINO GALLARES MEMORIAL HOSPITAL,BOHOL PROVINCIAL HOSPITAL,,Hospital,Government,Department Of Health,,MIGUEL PARRAS STREET,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,TAGBILARAN CITY (Capital),71242000,POBLACION II,071242011,6300,,With License,Level 3,200.0,1,9.644258,123.8571164,30
1631,20497,205,5616,PAULINA LIM MEMORIAL HOSPITAL,,,Hospital,Private,,,,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,GUINDULMAN,71223000,TRINIDAD,071223022,6310,,With License,Level 1,40.0,1,9.767553999999999,124.483459,30
1635,20502,210,5695,SOUTHWESTERN UNIVERSITY MEDICAL CENTER,SACRED HEART HOSPITAL,,Hospital,Private,,,"VILLA AZNAR, URGELLO STREET",,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,SAMBAG II (POB.),072217065,6000,www.sacredhearthospital.com,With License,Level 3,150.0,1,10.3037495,123.8924592,70
1636,20503,211,5697,LIM COMMUNITY HOSPITAL,,,Hospital,Private,,,,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,JAGNA,71225000,CANJULAO,071225011,6308,,With License,Level 1,,1,9.6546196,124.3603635,30
1637,20509,217,5925,CATIGBIAN DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,CATIGBIAN,71213000,POBLACION WESTE,071213027,6343,,With License,Level 1,25.0,1,9.850782599999999,123.9960759,30
1640,20512,220,5937,VICENTE SOTTO MEMORIAL MEDICAL CENTER,SOUTHERN ISLANDS HOSPITAL,,Hospital,Government,Department Of Health,,B. RODRIGUEZ STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CEBU CITY (Capital),72217000,SAMBAG II (POB.),072217065,6000,,With License,Level 3,600.0,1,10.3080071,123.8915916,70
1641,20513,221,5987,RAMIRO COMMUNITY HOSPITAL CORP.,RAMIRO COMMUNITY HOSPITAL,,Hospital,Private,,,GALLARES STREET,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,TAGBILARAN CITY (Capital),71242000,POBLACION II,071242011,6300,www.ramiromedical.org,With License,Level 2,100.0,1,9.644582000000002,123.853217,30
1644,20526,234,6493,EVERSLEY CHILDS SANITARIUM,,,Hospital,Government,Department Of Health,,,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,MANDAUE CITY,72230000,JAGOBIAO,072230014,6014,,With License,Level 1,50.0,1,10.3664813,123.9536614,70
1649,21656,1364,17445,"HOLY NAME UNIVERSITY MEDICAL FOUNDATION, INC.",,,Hospital,Private,,,HNU CAMPUS,,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,TAGBILARAN CITY (Capital),71242000,DAMPAS,071242006,6300,WWW.HNU-MCFI.ORG,With License,Level 1,,1,9.6507326,123.8678606,30
1653,22710,2418,27005,SIMBAJON MEDICAL CLINIC, , ,Hospital,Private, , , , ,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CITY OF TALISAY,72250000,TABUNOC,072250016,6045, ,Without License,0,,1,10.2616486,123.837004,70
1654,22720,2428,27016,BINOYA MEDICAL CLINIC, , ,Hospital,Private, , , , ,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CITY OF CARCAR,72214000,POBLACION III,072214014,6019, ,Without License,0,,1,10.1116607,123.6439114,70
1655,22731,2439,31981,WOMEN'S CHILDREN'S COMMUNITY HOSPITAL INC.,WOMENS AND CHILDRENS COMMUNITY HOSPITAL INC.,,Hospital,Private,,,ANICETO SENO STREET,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,MANDAUE CITY,72230000,CASUNTINGAN,072230009,6014,,With License,0,37.0,1,10.34148,123.9291689,70
1656,22732,2440,31986,MENDERO MEDICAL CENTER,,,Hospital,Private,,,,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,CONSOLACION,72219000,PITOGO,072219012,6001,,With License,Level 2,155.0,1,10.381758,123.9682001,70
1657,22734,2442,32027,CHONG HUA HOSPITAL MANDAUE,CHONG HUA HOSPITAL MANDAUE AND CANCER CENTER,,Hospital,Private,,,MANTAWI INTERNATIONAL DRIVE,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,MANDAUE CITY,72230000,SUBANGDAKU,072230022,6014,,With License,Level 2,338.0,1,10.322746,123.931457,70
1658,22735,2443,32091,"UNIVERSITY OF CEBU MEDICAL CENTER, INC.",,,Hospital,Private,,,"QUANO AVENUE, CITY SOUTH SPECIAL ECONOMIC ADMINISTRATIVE ZONE",,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,MANDAUE CITY,72230000,SUBANGDAKU,072230022,6014,,With License,Level 2,,1,10.3204912,123.9309247,70
1661,22817,2525,37496,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - BOHOL, INC.",,,Hospital,Private,,,"0368 CARLOS P. GARCIA, EAST AVENUE",,REGION VII (CENTRAL VISAYAS),70000000,BOHOL,71200000,TAGBILARAN CITY (Capital),71242000,MANSASA,071242009,6300,,With License,Level 2,100.0,1,9.6345045,123.8692081,30
1662,22881,2589,37939,"ALLEGIANT REGIONAL CARE HOSPITALS, INC.",,,Hospital,Private,,,,,REGION VII (CENTRAL VISAYAS),70000000,CEBU,72200000,LAPU-LAPU CITY (OPON),72226000,AGUS,072226001,6015,,With License,Level 2,100.0,1,10.2824819,123.9901067,70
1663,22902,2610,38395,"ALLIED CARE EXPERTS (ACE) DUMAGUETE DOCTORS, INC.",,,Hospital,Private,,,F. CIMAFRANCA STREET,,REGION VII (CENTRAL VISAYAS),70000000,NEGROS ORIENTAL,74600000,DUMAGUETE CITY (Capital),74610000,DARO,074610013,6200,,With License,Level 2,100.0,1,9.3174478,123.2962081,18
1665,22918,15,401,ABUYOG DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,MAHARLIKA HIGHWAY,,REGION VIII (EASTERN VISAYAS),80000000,LEYTE,83700000,ABUYOG,83701000,BUNGA,083701014,6510.0,,With License,Level 1,75.0,1,10.7590823,125.0031884,70
1669,22922,19,453,CLINICA GATCHALIAN AND HOSPITAL,,,Hospital,Private,,,161 J.T. KANGLEON STREET,,REGION VIII (EASTERN VISAYAS),80000000,LEYTE,83700000,ORMOC CITY,83738000,BARANGAY 20 (POB.),083738033,6541.0,,With License,Level 1,,1,11.0111393,124.6094124,70
1670,22923,20,478,DOMINGO CASANO HOSPITAL,,,Hospital,Private,,,REAL STREET 143,,REGION VIII (EASTERN VISAYAS),80000000,EASTERN SAMAR,82600000,DOLORES,82606000,BARANGAY 15 (POB.),082606028,6817.0,,With License,Level 1,,1,12.0409706,125.4858632,23
1672,22925,22,528,DR. MANUEL B. VELOSO MEMORIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,MABINI STREET,,REGION VIII (EASTERN VISAYAS),80000000,LEYTE,83700000,PALOMPON,83740000,MAZAWALO POB. (LILI-ON),083740022,6538.0,,With License,Level 1,75.0,1,11.0171219,124.408774,70
1673,22926,23,541,EASTERN SAMAR PROVINCIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,REAL STREET,,REGION VIII (EASTERN VISAYAS),80000000,EASTERN SAMAR,82600000,CITY OF BORONGAN (Capital),82604000,SONGCO,082604055,6800.0,,With License,Level 2,100.0,1,11.6114532,125.4318906,23
1675,22928,25,556,IMMACULATE CONCEPCION CLINIC AND HOSPITAL,,,Hospital,Private,,,195 LUGAY STREET,,REGION VIII (EASTERN VISAYAS),80000000,EASTERN SAMAR,82600000,GUIUAN,82609000,POBLACION WARD  8,082609042,6809.0,,With License,Level 1,,1,11.0309605,125.7249132,23
1677,22930,27,595,"LEYTE BAPTIST HOSPITAL, INC.",,,Hospital,Private,,,R.V. FULACHE STREET,,REGION VIII (EASTERN VISAYAS),80000000,LEYTE,83700000,HILONGOS,83719000,EASTERN BARANGAY (POB.),083719029,6524.0,,With License,Level 1,,1,10.372504,124.748683,70
1678,22931,28,618,LEYTE PROVINCIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,GOVERNMENT CENTER,,REGION VIII (EASTERN VISAYAS),80000000,LEYTE,83700000,PALO,83739000,LUNTAD (POB.),083739023,6500.0,,With License,Level 1,50.0,1,11.1809705,125.0059416,70
1680,22933,30,689,OUR LADY OF GUADALUPE HOSPITAL,,,Hospital,Private,,,MABINI STREET,,REGION VIII (EASTERN VISAYAS),80000000,EASTERN SAMAR,82600000,GENERAL MACARTHUR,82607000,POBLACION BARANGAY  6,082607015,6805.0,,With License,Level 1,25.0,1,11.251902,125.5392241,23
1681,22934,31,722,REMEDIOS TRINIDAD ROMUALDEZ HOSPITAL,,,Hospital,Private,,,CALANIPAWAN ROAD,,REGION VIII (EASTERN VISAYAS),80000000,LEYTE,83700000,TACLOBAN CITY (Capital),83747000,BARANGAY  96 (CALANIPAWAN),083747130,6500.0,,With License,Level 2,100.0,1,11.212028,124.999287,70
1682,22935,32,743,SCHISTOSOMIASIS HOSPITA,SCHISTOSOMIASIS CONTROL AND RESEARCH HOSPITAL,,Hospital,Government,Department Of Health,,SAN SALVADOR,,REGION VIII (EASTERN VISAYAS),80000000,LEYTE,83700000,PALO,83739000,NAGA-NAGA,083739018,6501.0,,With License,Level 1,25.0,1,11.1553613,124.9946986,70
1683,22936,33,753,SALVACION OPPUS YNIGUEZ MEMORIAL PROVINCIAL HOSPITAL,SOUTHERN LEYTE PROVINCIAL HOSPITAL,,Hospital,Government,Local Government Unit,,,,REGION VIII (EASTERN VISAYAS),80000000,SOUTHERN LEYTE,86400000,CITY OF MAASIN (Capital),86407000,DONGON,086407021,6600.0,,With License,Level 2,100.0,1,10.167109,124.840293,20
1686,22977,74,2149,CONSUELO K. TAN MEMORIAL MEDICAL CENTER,,,Hospital,Private,,,OSMEÑA STREET,,REGION VIII (EASTERN VISAYAS),80000000,SOUTHERN LEYTE,86400000,SOGOD,86417000,ZONE II (POB.),086417028,6606.0,,With License,Level 1,,1,10.3861111,124.98,20
1687,22986,83,2321,CORROMPIDO SPECIALTY HOSPITAL,,,Hospital,Private,,,LEOPOLDO REGIS STREET,,REGION VIII (EASTERN VISAYAS),80000000,SOUTHERN LEYTE,86400000,SOGOD,86417000,ZONE V (POB.),086417031,6606.0,,With License,Level 1,,1,10.385898,124.984162,20
1688,22991,88,2691,ORMOC DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,,,REGION VIII (EASTERN VISAYAS),80000000,LEYTE,83700000,ORMOC CITY,83738000,COGON COMBADO,083738016,6541.0,,With License,Level 1,100.0,1,11.0227557,124.6032268,70
